Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
MFG/24-25/524455,2025-03-19 09:52:00,Raw Material - Cotton Yarn,Surat Textiles Hub Pvt Ltd,8329.5,0.0,Bill passing for raw material - cotton yarn against PO ref #9915,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/521665,2024-04-14 18:31:00,Embroidery & Job Work Charges,Royal Industrial Spares,3471.15,0.0,Bill passing for embroidery & job work charges against PO ref #4980,Export Division,accts_suresh
MFG/24-25/SPL-600267,2024-10-25 14:52:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,49807.54,0.0,Job work voucher below limit clearance - Batch #833,Stitching Unit 1,accts_manish
MFG/24-25/501751,2024-08-26 12:05:00,Dyeing & Printing Charges,K-Tex Processing Mills,11653.46,0.0,Bill passing for dyeing & printing charges against PO ref #5650,Dyeing & Wet Processing,accts_manish
MFG/24-25/EST-701467,2024-06-27 17:28:00,Machinery Repairs & Spares,Royal Industrial Spares,94743.0,0.0,Estimated invoice booking ref #EST-94743,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/521843,2024-06-10 17:36:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,8597.0,Bill passing for finished goods domestic sales against PO ref #3178,Stitching Unit 1,finance_head
MFG/24-25/525357,2024-05-02 11:27:00,Direct Factory Wages,Om Sai Labour Contractors,6600.23,0.0,Bill passing for direct factory wages against PO ref #6416,Finishing & Packaging,accts_manish
MFG/24-25/502710,2024-08-18 15:04:00,Boiler Fuel & Power Costs,Star Export Logistics,3081.67,0.0,Bill passing for boiler fuel & power costs against PO ref #6805,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/501643,2024-11-08 14:23:00,Sub-contracting Fabrication,Surat Textiles Hub Pvt Ltd,35625.09,0.0,Bill passing for sub-contracting fabrication against PO ref #3095,Weaving Dept,finance_head
MFG/24-25/SPL-602337,2024-08-20 17:19:00,Direct Factory Wages,Shree Ganesh Embroidery,49426.24,0.0,Job work voucher below limit clearance - Batch #798,Stitching Unit 2,accts_manish
MFG/24-25/521349,2024-04-22 11:31:00,Direct Factory Wages,Om Sai Labour Contractors,4134.0,0.0,Bill passing for direct factory wages against PO ref #5539,Export Division,accts_suresh
MFG/24-25/SPL-602535,2024-08-24 14:56:00,Embroidery & Job Work Charges,Apex Button & Zippers,49141.17,0.0,Job work voucher below limit clearance - Batch #516,Stitching Unit 2,accts_manish
MFG/24-25/524757,2024-08-10 09:48:00,Sub-contracting Fabrication,Global Freight Forwarders,8878.55,0.0,Bill passing for sub-contracting fabrication against PO ref #7929,Dyeing & Wet Processing,accts_manish
MFG/24-25/512669,2024-09-05 13:54:00,Direct Factory Wages,Zenith Dyeing & Processing,2954.35,0.0,Bill passing for direct factory wages against PO ref #9273,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/517159,2024-07-02 11:56:00,Finished Goods Domestic Sales,Trends Retail India,0.0,2591.83,Bill passing for finished goods domestic sales against PO ref #3416,Export Division,works_mgr_patel
MFG/24-25/518953,2024-11-25 12:23:00,Raw Material - Cotton Yarn,Global Freight Forwarders,96324.45,0.0,Bill passing for raw material - cotton yarn against PO ref #3906,Weaving Dept,finance_head
MFG/24-25/524550,2024-07-27 15:57:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,6493.78,Bill passing for finished goods domestic sales against PO ref #1126,Stitching Unit 2,accts_suresh
MFG/24-25/519773,2024-12-02 10:02:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,1491.89,Bill passing for export sales (apparel) against PO ref #2761,Export Division,accts_suresh
MFG/24-25/521532,2024-12-30 19:23:00,Machinery Repairs & Spares,Surat Textiles Hub Pvt Ltd,148761.11,0.0,Bill passing for machinery repairs & spares against PO ref #3356,Stitching Unit 2,accts_manish
MFG/24-25/523232,2024-10-14 12:41:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,19628.99,Bill passing for export sales (apparel) against PO ref #2547,Export Division,works_mgr_patel
MFG/24-25/DUP-800897,2024-06-24 11:49:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,417208.93,0.0,Purchase bill passed against invoice ref INV-SURAT-8448 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/525777,2025-03-10 17:08:00,Packing & Trims Purchase,Royal Industrial Spares,17421.2,0.0,Bill passing for packing & trims purchase against PO ref #5117,Finishing & Packaging,accts_suresh
MFG/24-25/515568,2024-06-24 17:17:00,Machinery Repairs & Spares,Modern Trims & Labels,5018.26,0.0,Bill passing for machinery repairs & spares against PO ref #3104,Stitching Unit 1,accts_suresh
MFG/24-25/507336,2024-12-23 09:35:00,Raw Material - Grey Fabric,Star Export Logistics,11995.33,0.0,Bill passing for raw material - grey fabric against PO ref #5792,Stitching Unit 1,finance_head
MFG/24-25/SPL-603632,2024-07-25 17:15:00,Embroidery & Job Work Charges,Om Sai Labour Contractors,48473.62,0.0,Job work voucher below limit clearance - Batch #741,Stitching Unit 1,accts_manish
MFG/24-25/EST-701322,2024-06-02 13:15:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,743710.0,0.0,Estimated invoice booking ref #EST-74371,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/512803,2024-11-21 11:02:00,Export Freight & Clearing,K-Tex Processing Mills,52298.06,0.0,Bill passing for export freight & clearing against PO ref #2509,Spinning Unit,accts_suresh
MFG/24-25/504520,2024-12-26 13:56:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,3524.99,Bill passing for export sales (apparel) against PO ref #3211,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/525182,2024-12-30 16:16:00,Raw Material - Grey Fabric,Vardhman Yarns & Threads,8439.91,0.0,Bill passing for raw material - grey fabric against PO ref #5357,Export Division,accts_suresh
MFG/24-25/SPL-604065,2025-03-19 17:28:00,Embroidery & Job Work Charges,Balaji Job Workers Ltd,48590.04,0.0,Job work voucher below limit clearance - Batch #400,Stitching Unit 1,accts_manish
MFG/24-25/SPL-604150,2024-09-03 16:05:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,49614.99,0.0,Job work voucher below limit clearance - Batch #795,Stitching Unit 1,accts_manish
MFG/24-25/525932,2024-09-05 18:50:00,Export Freight & Clearing,Vardhman Yarns & Threads,17789.73,0.0,Bill passing for export freight & clearing against PO ref #4477,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-700104,2024-10-09 16:44:00,Dyeing & Printing Charges,Royal Industrial Spares,783670.0,0.0,Estimated invoice booking ref #EST-78367,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/523080,2024-06-26 15:30:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,29370.99,Bill passing for finished goods domestic sales against PO ref #8916,Finishing & Packaging,works_mgr_patel
MFG/24-25/EST-701480,2024-07-30 16:29:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),85832.0,0.0,Estimated invoice booking ref #EST-85832,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/525947,2024-06-14 15:26:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,15722.51,Bill passing for finished goods domestic sales against PO ref #5760,Weaving Dept,works_mgr_patel
MFG/24-25/520130,2025-03-15 12:43:00,Export Sales (Apparel),Euro Fashion Brands,0.0,172091.18,Bill passing for export sales (apparel) against PO ref #7427,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/509997,2024-08-25 18:11:00,Embroidery & Job Work Charges,K-Tex Processing Mills,41117.13,0.0,Bill passing for embroidery & job work charges against PO ref #7190,Spinning Unit,sr_accountant_gupta
MFG/24-25/EST-700919,2025-02-01 10:14:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),834180.0,0.0,Estimated invoice booking ref #EST-83418,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/519237,2024-06-23 17:43:00,Dyeing & Printing Charges,Royal Industrial Spares,19747.96,0.0,Bill passing for dyeing & printing charges against PO ref #4615,Spinning Unit,works_mgr_patel
MFG/24-25/512284,2024-12-14 15:29:00,Embroidery & Job Work Charges,Modern Trims & Labels,6691.49,0.0,Bill passing for embroidery & job work charges against PO ref #9924,Dyeing & Wet Processing,finance_head
MFG/24-25/513060,2024-12-05 17:59:00,Finished Goods Domestic Sales,Trends Retail India,0.0,38138.9,Bill passing for finished goods domestic sales against PO ref #9749,Spinning Unit,accts_suresh
MFG/24-25/EST-701154,2024-08-20 17:40:00,Machinery Repairs & Spares,Royal Industrial Spares,82123.0,0.0,Estimated invoice booking ref #EST-82123,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/511794,2024-07-30 11:03:00,Dyeing & Printing Charges,Shree Ganesh Embroidery,846.15,0.0,Bill passing for dyeing & printing charges against PO ref #8076,Export Division,accts_suresh
MFG/24-25/DUP-801319,2024-10-18 13:12:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,395684.76,0.0,Purchase bill passed against invoice ref INV-SURAT-8659 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/518264,2024-11-25 14:13:00,Export Sales (Apparel),Trends Retail India,0.0,6272.94,Bill passing for export sales (apparel) against PO ref #4739,Stitching Unit 2,accts_manish
MFG/24-25/502056,2024-07-01 19:37:00,Direct Factory Wages,Shree Ganesh Embroidery,40244.99,0.0,Bill passing for direct factory wages against PO ref #6421,Export Division,accts_manish
MFG/24-25/508948,2025-01-15 17:21:00,Raw Material - Cotton Yarn,Balaji Job Workers Ltd,50949.37,0.0,Bill passing for raw material - cotton yarn against PO ref #6669,Export Division,finance_head
MFG/24-25/EST-702957,2024-08-14 18:28:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,94243.0,0.0,Estimated invoice booking ref #EST-94243,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-703222,2024-07-16 10:08:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),811800.0,0.0,Estimated invoice booking ref #EST-81180,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/506150,2024-12-14 10:28:00,Raw Material - Grey Fabric,K-Tex Processing Mills,1570.6,0.0,Bill passing for raw material - grey fabric against PO ref #4715,Finishing & Packaging,accts_manish
MFG/24-25/515667,2024-12-11 15:47:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,145044.15,0.0,Bill passing for raw material - grey fabric against PO ref #8157,Finishing & Packaging,finance_head
MFG/24-25/DUP-801625,2025-03-25 17:43:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,297276.97,0.0,Purchase bill passed against invoice ref INV-SURAT-8812 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/518506,2024-12-11 19:26:00,Packing & Trims Purchase,Om Sai Labour Contractors,28915.13,0.0,Bill passing for packing & trims purchase against PO ref #6761,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/DUP-801104,2024-12-28 12:58:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,339465.72,0.0,Purchase bill passed against invoice ref INV-SURAT-8551 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/519982,2024-11-23 19:42:00,Packing & Trims Purchase,Star Export Logistics,29247.91,0.0,Bill passing for packing & trims purchase against PO ref #8659,Export Division,sr_accountant_gupta
MFG/24-25/509259,2024-12-21 09:11:00,Packing & Trims Purchase,Tirupur Spinning Mills,2605.58,0.0,Bill passing for packing & trims purchase against PO ref #2135,Export Division,accts_suresh
MFG/24-25/504617,2024-07-22 09:16:00,Raw Material - Grey Fabric,Zenith Dyeing & Processing,3562.56,0.0,Bill passing for raw material - grey fabric against PO ref #4550,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/513209,2024-04-25 09:27:00,Packing & Trims Purchase,K-Tex Processing Mills,8121.35,0.0,Bill passing for packing & trims purchase against PO ref #7851,Stitching Unit 2,accts_manish
MFG/24-25/SPL-601853,2024-08-06 18:27:00,Embroidery & Job Work Charges,Balaji Job Workers Ltd,48402.3,0.0,Job work voucher below limit clearance - Batch #753,Stitching Unit 1,accts_manish
MFG/24-25/504409,2024-04-08 09:26:00,Finished Goods Domestic Sales,Trends Retail India,0.0,3839.43,Bill passing for finished goods domestic sales against PO ref #6946,Finishing & Packaging,accts_manish
MFG/24-25/505343,2024-04-23 11:21:00,Embroidery & Job Work Charges,Star Export Logistics,2501.15,0.0,Bill passing for embroidery & job work charges against PO ref #8874,Finishing & Packaging,works_mgr_patel
MFG/24-25/DUP-801451,2025-01-13 15:42:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,140186.35,0.0,Purchase bill passed against invoice ref INV-SURAT-8725 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/SPL-603172,2024-12-25 14:33:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,49090.87,0.0,Job work voucher below limit clearance - Batch #239,Stitching Unit 1,accts_manish
MFG/24-25/513152,2024-04-04 18:09:00,Machinery Repairs & Spares,Balaji Job Workers Ltd,36796.58,0.0,Bill passing for machinery repairs & spares against PO ref #2550,Stitching Unit 2,works_mgr_patel
MFG/24-25/DUP-801828,2024-04-22 11:05:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,280139.58,0.0,Purchase bill passed against invoice ref INV-SURAT-8913 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/503271,2025-02-11 18:51:00,Embroidery & Job Work Charges,Apex Button & Zippers,3441.5,0.0,Bill passing for embroidery & job work charges against PO ref #2876,Stitching Unit 2,finance_head
MFG/24-25/507216,2025-01-01 12:31:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,27602.97,0.0,Bill passing for raw material - grey fabric against PO ref #3715,Spinning Unit,finance_head
MFG/24-25/505490,2024-08-08 15:02:00,Raw Material - Cotton Yarn,Star Export Logistics,802.35,0.0,Bill passing for raw material - cotton yarn against PO ref #4829,Stitching Unit 1,accts_suresh
MFG/24-25/EST-700464,2025-01-04 12:25:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,76396.0,0.0,Estimated invoice booking ref #EST-76396,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/510048,2025-03-27 13:52:00,Dyeing & Printing Charges,Balaji Job Workers Ltd,2634.51,0.0,Bill passing for dyeing & printing charges against PO ref #3493,Weaving Dept,accts_suresh
MFG/24-25/515195,2024-12-31 19:42:00,Raw Material - Grey Fabric,SuperTech Boiler Solutions,17773.34,0.0,Bill passing for raw material - grey fabric against PO ref #2657,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/518579,2024-11-13 10:35:00,Embroidery & Job Work Charges,K-Tex Processing Mills,72522.93,0.0,Bill passing for embroidery & job work charges against PO ref #8588,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/523462,2025-02-11 14:34:00,Dyeing & Printing Charges,SuperTech Boiler Solutions,6880.12,0.0,Bill passing for dyeing & printing charges against PO ref #3990,Stitching Unit 1,accts_suresh
MFG/24-25/503632,2024-07-18 12:25:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,27103.78,Bill passing for finished goods domestic sales against PO ref #3592,Weaving Dept,sr_accountant_gupta
MFG/24-25/504479,2025-01-14 15:57:00,Export Freight & Clearing,Om Sai Labour Contractors,11451.38,0.0,Bill passing for export freight & clearing against PO ref #2677,Spinning Unit,finance_head
MFG/24-25/SPL-600803,2024-04-05 15:25:00,Direct Factory Wages,Shree Ganesh Embroidery,49699.99,0.0,Job work voucher below limit clearance - Batch #842,Stitching Unit 2,accts_manish
MFG/24-25/518750,2024-08-10 15:52:00,Direct Factory Wages,Surat Textiles Hub Pvt Ltd,29003.59,0.0,Bill passing for direct factory wages against PO ref #6543,Spinning Unit,finance_head
MFG/24-25/EST-703056,2024-12-05 11:09:00,Dyeing & Printing Charges,Sub-contractor X (Unverified),74654.0,0.0,Estimated invoice booking ref #EST-74654,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/501487,2024-09-02 16:27:00,Raw Material - Grey Fabric,Apex Button & Zippers,33839.34,0.0,Bill passing for raw material - grey fabric against PO ref #1852,Export Division,finance_head
MFG/24-25/522987,2024-09-28 17:02:00,Embroidery & Job Work Charges,Vardhman Yarns & Threads,11439.3,0.0,Bill passing for embroidery & job work charges against PO ref #9497,Weaving Dept,accts_suresh
MFG/24-25/521109,2024-11-11 16:10:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,12585.01,Bill passing for export sales (apparel) against PO ref #6232,Finishing & Packaging,works_mgr_patel
MFG/24-25/DUP-801780,2025-03-19 14:39:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,260127.68,0.0,Purchase bill passed against invoice ref INV-SURAT-8889 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/520896,2024-09-21 16:17:00,Sample Development Expenses,Balaji Job Workers Ltd,31155.79,0.0,Bill passing for sample development expenses against PO ref #9764,Export Division,sr_accountant_gupta
MFG/24-25/517625,2024-12-31 17:14:00,Raw Material - Grey Fabric,Om Sai Labour Contractors,16970.7,0.0,Bill passing for raw material - grey fabric against PO ref #3961,Spinning Unit,finance_head
MFG/24-25/504208,2024-07-02 15:14:00,Dyeing & Printing Charges,Om Sai Labour Contractors,24324.59,0.0,Bill passing for dyeing & printing charges against PO ref #3468,Export Division,accts_manish
MFG/24-25/516472,2024-09-29 14:10:00,Raw Material - Cotton Yarn,Surat Textiles Hub Pvt Ltd,6438.67,0.0,Bill passing for raw material - cotton yarn against PO ref #3437,Export Division,accts_manish
MFG/24-25/SPL-601290,2025-03-26 15:01:00,Sub-contracting Fabrication,Om Sai Labour Contractors,48623.73,0.0,Job work voucher below limit clearance - Batch #483,Stitching Unit 1,accts_manish
MFG/24-25/516287,2024-06-23 12:10:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,2797.31,Bill passing for finished goods domestic sales against PO ref #6154,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-701698,2024-08-02 18:10:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,91134.0,0.0,Estimated invoice booking ref #EST-91134,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-703024,2024-09-11 12:23:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,77799.0,0.0,Estimated invoice booking ref #EST-77799,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-701164,2025-02-11 13:47:00,Machinery Repairs & Spares,Royal Industrial Spares,89122.0,0.0,Estimated invoice booking ref #EST-89122,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/516812,2024-05-28 11:32:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,31279.73,Bill passing for export sales (apparel) against PO ref #3520,Spinning Unit,accts_manish
MFG/24-25/504132,2024-10-08 18:52:00,Raw Material - Grey Fabric,Global Freight Forwarders,500.0,0.0,Bill passing for raw material - grey fabric against PO ref #7853,Spinning Unit,finance_head
MFG/24-25/510705,2024-10-31 09:22:00,Dyeing & Printing Charges,Vardhman Yarns & Threads,10293.92,0.0,Bill passing for dyeing & printing charges against PO ref #8592,Stitching Unit 1,accts_manish
MFG/24-25/510808,2024-08-20 19:55:00,Embroidery & Job Work Charges,Surat Textiles Hub Pvt Ltd,9981.24,0.0,Bill passing for embroidery & job work charges against PO ref #7720,Export Division,works_mgr_patel
MFG/24-25/517511,2025-01-05 11:24:00,Machinery Repairs & Spares,Balaji Job Workers Ltd,6287.88,0.0,Bill passing for machinery repairs & spares against PO ref #5427,Stitching Unit 1,accts_manish
MFG/24-25/519163,2025-03-24 13:05:00,Raw Material - Grey Fabric,Royal Industrial Spares,4566.32,0.0,Bill passing for raw material - grey fabric against PO ref #1198,Stitching Unit 1,works_mgr_patel
MFG/24-25/EST-700245,2024-09-27 12:52:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,759770.0,0.0,Estimated invoice booking ref #EST-75977,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/517567,2024-10-19 18:11:00,Export Freight & Clearing,Zenith Dyeing & Processing,2687.91,0.0,Bill passing for export freight & clearing against PO ref #1560,Export Division,works_mgr_patel
MFG/24-25/510039,2024-12-19 19:05:00,Dyeing & Printing Charges,Apex Button & Zippers,21217.44,0.0,Bill passing for dyeing & printing charges against PO ref #8498,Spinning Unit,sr_accountant_gupta
MFG/24-25/508657,2024-06-05 18:45:00,Packing & Trims Purchase,Apex Button & Zippers,9158.73,0.0,Bill passing for packing & trims purchase against PO ref #4389,Spinning Unit,accts_manish
MFG/24-25/520031,2024-06-22 15:05:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,9117.43,Bill passing for finished goods domestic sales against PO ref #3683,Weaving Dept,accts_suresh
MFG/24-25/517211,2025-01-23 17:14:00,Raw Material - Cotton Yarn,Vardhman Yarns & Threads,569836.39,0.0,Bill passing for raw material - cotton yarn against PO ref #2275,Export Division,accts_manish
MFG/24-25/500699,2025-03-04 15:22:00,Raw Material - Grey Fabric,Shree Ganesh Embroidery,736942.23,0.0,Bill passing for raw material - grey fabric against PO ref #4006,Dyeing & Wet Processing,accts_manish
MFG/24-25/501185,2024-08-27 14:17:00,Direct Factory Wages,Zenith Dyeing & Processing,28622.75,0.0,Bill passing for direct factory wages against PO ref #2008,Export Division,accts_suresh
MFG/24-25/501172,2024-12-25 15:41:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,12195.96,Bill passing for export sales (apparel) against PO ref #7777,Dyeing & Wet Processing,finance_head
MFG/24-25/510028,2024-11-18 10:52:00,Packing & Trims Purchase,Balaji Job Workers Ltd,12005.94,0.0,Bill passing for packing & trims purchase against PO ref #6931,Weaving Dept,accts_manish
MFG/24-25/513617,2025-02-22 17:08:00,Dyeing & Printing Charges,Global Freight Forwarders,1275.78,0.0,Bill passing for dyeing & printing charges against PO ref #6947,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/521996,2024-12-26 13:16:00,Raw Material - Grey Fabric,Om Sai Labour Contractors,10129.29,0.0,Bill passing for raw material - grey fabric against PO ref #3444,Dyeing & Wet Processing,finance_head
MFG/24-25/513654,2024-07-15 15:40:00,Raw Material - Cotton Yarn,Om Sai Labour Contractors,16141.8,0.0,Bill passing for raw material - cotton yarn against PO ref #5879,Stitching Unit 2,finance_head
MFG/24-25/518089,2024-06-12 10:06:00,Raw Material - Grey Fabric,Global Freight Forwarders,6954.73,0.0,Bill passing for raw material - grey fabric against PO ref #9630,Dyeing & Wet Processing,accts_manish
MFG/24-25/514540,2024-04-20 11:05:00,Packing & Trims Purchase,Global Freight Forwarders,5534.05,0.0,Bill passing for packing & trims purchase against PO ref #6361,Weaving Dept,sr_accountant_gupta
MFG/24-25/DUP-800820,2025-03-01 16:41:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,174661.99,0.0,Purchase bill passed against invoice ref INV-SURAT-8409 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/506456,2025-01-15 15:59:00,Raw Material - Grey Fabric,Vardhman Yarns & Threads,68359.43,0.0,Bill passing for raw material - grey fabric against PO ref #3867,Stitching Unit 1,accts_suresh
MFG/24-25/SPL-602446,2024-08-13 15:49:00,Sub-contracting Fabrication,Om Sai Labour Contractors,48326.31,0.0,Job work voucher below limit clearance - Batch #290,Stitching Unit 2,accts_manish
MFG/24-25/523649,2024-10-27 10:05:00,Raw Material - Cotton Yarn,Vardhman Yarns & Threads,10827.45,0.0,Bill passing for raw material - cotton yarn against PO ref #1211,Export Division,finance_head
MFG/24-25/509852,2024-07-08 15:44:00,Sub-contracting Fabrication,Modern Trims & Labels,13707.02,0.0,Bill passing for sub-contracting fabrication against PO ref #6446,Stitching Unit 1,finance_head
MFG/24-25/512179,2024-05-21 10:44:00,Packing & Trims Purchase,Modern Trims & Labels,165846.25,0.0,Bill passing for packing & trims purchase against PO ref #8010,Weaving Dept,accts_manish
MFG/24-25/512818,2024-07-17 13:57:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,27194.26,0.0,Bill passing for embroidery & job work charges against PO ref #8899,Weaving Dept,accts_manish
MFG/24-25/509847,2024-07-20 12:27:00,Embroidery & Job Work Charges,Star Export Logistics,18155.12,0.0,Bill passing for embroidery & job work charges against PO ref #5789,Spinning Unit,accts_manish
MFG/24-25/SPL-600591,2024-06-06 11:16:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,48149.83,0.0,Job work voucher below limit clearance - Batch #509,Stitching Unit 2,accts_manish
MFG/24-25/515633,2024-10-31 17:41:00,Raw Material - Grey Fabric,Apex Button & Zippers,6539.87,0.0,Bill passing for raw material - grey fabric against PO ref #5170,Dyeing & Wet Processing,accts_suresh
MFG/24-25/EST-702689,2024-07-11 10:35:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,986150.0,0.0,Estimated invoice booking ref #EST-98615,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/522120,2024-08-17 11:27:00,Raw Material - Cotton Yarn,Apex Button & Zippers,3916.98,0.0,Bill passing for raw material - cotton yarn against PO ref #4795,Finishing & Packaging,finance_head
MFG/24-25/505883,2024-11-15 09:18:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,34957.35,Bill passing for finished goods domestic sales against PO ref #3433,Finishing & Packaging,accts_suresh
MFG/24-25/503260,2024-06-23 18:39:00,Direct Factory Wages,Surat Textiles Hub Pvt Ltd,2076.27,0.0,Bill passing for direct factory wages against PO ref #3988,Weaving Dept,accts_suresh
MFG/24-25/518729,2024-07-25 18:43:00,Machinery Repairs & Spares,SuperTech Boiler Solutions,11186.16,0.0,Bill passing for machinery repairs & spares against PO ref #8597,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/505867,2024-07-01 16:21:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,7281.94,Bill passing for export sales (apparel) against PO ref #4368,Stitching Unit 2,works_mgr_patel
MFG/24-25/517959,2024-05-10 12:23:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,6725.25,Bill passing for export sales (apparel) against PO ref #3502,Spinning Unit,accts_suresh
MFG/24-25/522071,2024-09-29 09:49:00,Raw Material - Grey Fabric,K-Tex Processing Mills,8833.41,0.0,Bill passing for raw material - grey fabric against PO ref #9174,Stitching Unit 1,finance_head
MFG/24-25/DUP-800794,2024-12-18 14:10:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,310962.16,0.0,Purchase bill passed against invoice ref INV-SURAT-8396 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/521274,2024-08-27 13:58:00,Raw Material - Cotton Yarn,Tirupur Spinning Mills,36537.55,0.0,Bill passing for raw material - cotton yarn against PO ref #8566,Stitching Unit 2,accts_suresh
MFG/24-25/500651,2024-09-13 09:25:00,Dyeing & Printing Charges,Om Sai Labour Contractors,780.57,0.0,Bill passing for dyeing & printing charges against PO ref #9400,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/500781,2025-02-18 13:43:00,Direct Factory Wages,K-Tex Processing Mills,6215.68,0.0,Bill passing for direct factory wages against PO ref #9905,Stitching Unit 1,works_mgr_patel
MFG/24-25/519049,2024-12-18 12:56:00,Raw Material - Grey Fabric,Royal Industrial Spares,1548.89,0.0,Bill passing for raw material - grey fabric against PO ref #1480,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/SPL-604099,2025-03-03 16:11:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,48229.74,0.0,Job work voucher below limit clearance - Batch #562,Stitching Unit 1,accts_manish
MFG/24-25/523483,2025-01-21 18:27:00,Boiler Fuel & Power Costs,Shree Ganesh Embroidery,19902.03,0.0,Bill passing for boiler fuel & power costs against PO ref #3802,Weaving Dept,accts_suresh
